language,language_family,nf_hours,ff_hours,itw_hours,total_hours,overlap_pct
Assamese,Indo-Aryan,1.5,,,1.5,13.9
Bengali,Indo-Aryan,4.4,4.1,4.1,12.6,7.8
Bodo,Sino-Tibetan,1.6,,,1.6,15.2
Dogri,Indo-Aryan,1.4,,,1.4,24.2
Gujarati,Indo-Aryan,4.1,4.2,2.8,11.1,7.6
Hindi,Indo-Aryan,4.2,4.0,2.5,10.7,16.6
Kannada,Dravidian,3.7,1.4,3.3,8.5,15.2
Kashmiri,Indo-Aryan,1.1,,,1.1,21.2
Konkani,Indo-Aryan,1.6,,,1.6,14.0
Maithili,Indo-Aryan,1.3,,,1.3,24.7
Malayalam,Dravidian,1.3,,2.4,3.7,12.9
Manipuri,Sino-Tibetan,1.5,,,1.5,20.6
Marathi,Indo-Aryan,4.2,3.5,2.7,10.4,11.3
Nepali,Indo-Aryan,1.3,,,1.3,22.9
Odia,Indo-Aryan,1.5,,1.6,3.1,11.1
Punjabi,Indo-Aryan,4.3,4.0,2.4,10.6,6.1
Sanskrit,Indo-Aryan,1.6,,,1.6,21.4
Santali,Austroasiatic,1.6,,,1.6,6.5
Sindhi,Indo-Aryan,1.5,,,1.5,16.0
Tamil,Dravidian,4.2,2.5,3.2,10.0,12.4
Telugu,Dravidian,3.8,3.0,2.5,9.3,20.4
Urdu,Indo-Aryan,1.6,,,1.6,12.5
