language,n_clips,hours_ours,hours_published,overlap_union_pct,overlap_sum_pct,overlap_published_pct,delta_union,delta_sum,gate_pass
Assamese,27,1.4668555555555554,1.5,13.620576941873086,11.795491818766259,13.9,-0.27942305812691437,-2.104508181233742,True
Bengali,104,12.626858333333335,12.6,7.647133065551168,7.07460331882188,7.8,-0.1528669344488316,-0.7253966811781201,True
Bodo,29,1.5610722222222222,1.6,14.989693964332735,12.896899033741134,15.2,-0.2103060356672639,-2.3031009662588655,True
Dogri,26,1.436536111111111,1.4,24.225183474372972,18.928105618401016,24.2,0.02518347437297308,-5.271894381598983,True
Gujarati,92,11.104736111111112,11.1,7.530821228113374,6.984232385109819,7.6,-0.06917877188662569,-0.6157676148901805,True
Hindi,94,10.737883333333334,10.7,15.822286986287327,13.511681384211116,16.6,-0.777713013712674,-3.088318615788886,True
Kannada,89,8.502125000000001,8.5,14.860172933447066,12.807338463690565,15.2,-0.3398270665529335,-2.3926615363094346,True
Kashmiri,20,1.0964777777777777,1.1,20.672734325099704,16.77658450989575,21.2,-0.5272656749002955,-4.423415490104251,True
Konkani,30,1.6097055555555555,1.6,13.938102356293111,12.133544538751224,14.0,-0.06189764370688877,-1.8664554612487763,True
Maithili,24,1.303263888888889,1.3,24.156363143279865,19.03242652368447,24.7,-0.5436368567201342,-5.667573476315528,True
Malayalam,42,3.7537027777777774,3.7,12.759455265296028,11.24201358908744,12.9,-0.14054473470397255,-1.6579864109125602,True
Manipuri,27,1.4692805555555555,1.5,20.557885223800263,16.52019048701935,20.6,-0.04211477619973891,-4.079809512980653,True
Marathi,94,10.403388888888887,10.4,11.288370216096222,10.070932755108693,11.3,-0.011629783903778446,-1.2290672448913078,True
Nepali,25,1.3136222222222222,1.3,22.148064035845803,17.853503024193433,22.9,-0.7519359641541961,-5.046496975806566,True
Odia,48,3.115763888888889,3.1,11.09070529337764,9.919750659828715,11.1,-0.009294706622359428,-1.1802493401712848,True
Punjabi,96,10.681452777777778,10.6,6.114191691787996,5.749080864407966,6.1,0.014191691787996064,-0.3509191355920338,True
Sanskrit,30,1.5989027777777782,1.6,21.395697787347437,17.22376173049135,21.4,-0.004302212652561366,-4.176238269508648,True
Santali,29,1.5900055555555554,1.6,6.521344491261041,6.102906836381935,6.5,0.021344491261040766,-0.3970931636180648,True
Sindhi,27,1.473572222222222,1.5,15.916562251238686,13.473451255131002,16.0,-0.08343774876131427,-2.5265487448689985,True
Tamil,93,9.976752777777778,10.0,12.37743715775362,10.955219443381836,12.4,-0.022562842246379944,-1.4447805566181646,True
Telugu,88,9.286191666666667,9.3,20.287087843457204,16.535667858740787,20.4,-0.1129121565427944,-3.8643321412592115,True
Urdu,30,1.6308305555555556,1.6,12.342227390342128,10.944977888267552,12.5,-0.1577726096578722,-1.5550221117324483,True
